Reporting Library Service,Name,Address 1,Address 2,Address 3,Upper Tier Local Authority,Postcode,Type,Year Permanently Closed,Year First Opened
Barking and Dagenham,Fanshawe,Barnmead Road,Dagenham,Essex,Barking and Dagenham,RM9 5DX,Static Library,2010,
Barking and Dagenham,Rectory,Rectory Road,Dagenham,Essex,Barking and Dagenham,RM10 9SA,Static Library,2010,
Birmingham,Cocks Moors Woods Neighbourhood Library,"Cocks Moors Woods Leisure Centre, Alcester Road South",Birmingham,West Midlands,Birmingham,B14 6ER,Static Library,2010,
Nottingham,Wilford,"Ruddington Lane, Wilford",Nottingham,Nottinghamshire,Nottingham,NG11 7AX,Static Library,2010,
Wigan,Orrell,241 Orrell Road ,Orrell,Greater Manchester,Wigan,WN5 8LY,Static Library,2010,
Blackpool,Bispham,Bispham Road,Blackpool,Lancashire,Blackpool,FY2 0HH,Static Library,2011,
Bradford,Heaton Library,St. Barnabas Village Hall,Bradford,West Yorkshire,Bradford,BD9 4AX,Static Library,2011,
Brent,Neasden,277 Neasden Lane,London,Middlesex,Brent,NW10 1QJ,Static Library,2011,
Brent,Tokyngton,Monks Park,Wembley,Middlesex,Brent,HA9 6JE,Static Library,2011,
Buckinghamshire,Thomas Hickman School,Belgrave Road,Aylesbury,Buckinghamshire,Buckinghamshire,HP19 9HP,Static Library,2011,
Derby,Local Studies,25b Irongate,Derby,Derbyshire,Derby,DE1 3GL,Static Local History Library,2011,
Hartlepool,Foggy Furze,stockton Rd ,Hartlepool,County Durham,Hartlepool,TS25 5BQ,Static Library,2011,
Leeds,Allerton Bywater,"The Old School, Vicars Terrace",Allerton Bywater,West Yorkshire,Leeds,WF10 2DY,Static Library,2011,
Leeds,Armley Heights,36 Heights Drive,Armley,West Yorkshire,Leeds,LS12 3SU,Static Library,2011,
Leeds,Belle Isle,"Aberfield Gate, Belle Isle Road",Leeds,West Yorkshire,Leeds,LS10 3QH,Static Library,2011,
Leeds,Broad Lane,540 Broad Lane,Leeds,West Yorkshire,Leeds,LS28 6PA,Static Library,2011,
Leeds,Holbeck,95-97 Domestic Street,Holbeck,West Yorkshire,Leeds,LS11 9NS,Static Library,2011,
Leeds,Ireland Wood,19 Iveson Approach,Leeds,West Yorkshire,Leeds,LS16 6LJ,Static Library,2011,
Leeds,Kirkstall,26 Kirkstall Lane,Leeds,West Yorkshire,Leeds,LS5 3BH,Static Library,2011,
Leeds,Lofthouse,Carlton Lane,Lofthouse,West Yorkshire,Leeds,WF3 3LJ,Static Library,2011,
Leeds,Osmondthorpe,"81a, Wykebeck Mount",Leeds,West Yorkshire,Leeds,LS9 0JE,Static Library,2011,
Leeds,Richmond Hill,Pontefract Lane,Leeds,West Yorkshire,Leeds,LS9 8QE,Static Library,2011,
Leeds,Swarcliffe,Langbar Road,Swarcliffe,West Yorkshire,Leeds,LS14 5ER,Static Library,2011,
Leeds,Swillington,Wakefield Road,Swillington,West Yorkshire,Leeds,LS26 8DT,Static Library,2011,
Leeds,Swinnow,102a Swinnow Lane,Swinnow,West Yorkshire,Leeds,LS13 4RF,Static Library,2011,
Manchester,Clayton Library,Clayton Street,Clayton,Greater Manchester ,Manchester,M11 4NE,Static Library,2011,
Manchester,Rack House,Yarmouth Drive,Wythenshawe,Greater Manchester ,Manchester,M23 0BT,Static Library,2011,
Richmond Upon Thames,Heathfield Library,Percy Road,Whitton,Middlesex,Richmond Upon Thames,TW2 6JL,Static Library,2011,
Salford,Broughton Library,Bury New Road,Salford,Greater Manchester,Salford,M7 4BQ,Static Library,2011,
Southwark,Rotherhithe Library,Albion Street,Southwark,Surrey,Southwark,SE16 7JD,Static Library,2011,
Stoke-on-Trent,Burslem Library,Queen Street,Stoke-on-Trent,Staffordshire ,Stoke-on-Trent,ST6 3EF,Static Library,2011,
Stoke-on-Trent,Fenton Library,Baker Street,Stoke-on-Trent,Staffordshire ,Stoke-on-Trent,ST4 3AF,Static Library,2011,
Stoke-on-Trent,Haywood Library,High Lane,Tunstall,Staffordshire ,Stoke-on-Trent,ST6 7AB,Static Library,2011,
Stoke-on-Trent,Kingsland Early Years,Eaves Lane,Bucknall,Staffordshire ,Stoke-on-Trent,ST2 9AS,Static Library,2011,
Wakefield,Middlestown,CP School Cross Road ,Wakefield,West Yorkshire,Wakefield,WF4 4QE,Static Library,2011,1979
Wakefield,Outwood,Victoria Street,Wakefield,West Yorkshire,Wakefield,WF1 2NE,Static Library,2011,1983
Wakefield,South Kirkby,White Apron Street,Pontefract,West Yorkshire,Wakefield,WF9 3LD,Static Library,2011,1966
Wakefield,South Pontefract,The Circle,Pontefract,West Yorkshire,Wakefield,WF8 2AY,Static Library,2011,2004
Westminster,St. James's Library,62 Victoria Street,London,Middlesex,Westminster,SW1E 6QP,Static Library,2011,
Barking and Dagenham,Markyate,Markyate Road,Dagenham,Essex,Barking and Dagenham,RM8 2LD,Static Library,2012,
Barking and Dagenham,Wantz,"Wantz Community Complex, Rainham Road North",Dagenham,Essex,Barking and Dagenham,RM10 7DX,Static Library,2012,
Bolton,Astley Bridge,Moss Bank Way,Bolton,Greater Manchester,Bolton,BL1 8NP,Static Library,2012,
Bolton,Castle Hill,"Castle Hill Centre, Castleton Street",Bolton,Greater Manchester,Bolton,BL2 2JW,Static Library,2012,
Bolton,Highfield,Highfield Road,Bolton,Greater Manchester,Bolton,BL4 0RN,Static Library,2012,
